Date,Gia_vang,Gia_dau,Chi_so_bien_dong,Ty_gia_USD_VND,Gia_vang_the_gioi,Lai_suat_%,So_nguoi_mua,So_nguoi_ban,Gia_vang_tg
2025-08-07 23:00:00+00:00,3400.300049,63.88000107,16.56999969,26190,313.1199951,0.4,4405,1000,3131.199951
2025-08-08 04:00:00+00:00,3439.100098,63.88000107,15.14999962,26190,313.0499878,0.4,4408,1000,3130.499878
2025-08-10 23:00:00+00:00,3439.100098,63.88000107,15.14999962,26200,313.0499878,0.4,4408,1000,3130.499878
2025-08-11 04:00:00+00:00,3353.100098,63.95999908,16.25,26200,308.5499878,0.4,4628,1000,3085.499878
2025-08-11 23:00:00+00:00,3353.100098,63.95999908,16.25,26231,308.5499878,0.4,4628,1000,3085.499878
2025-08-12 04:00:00+00:00,3348.899902,63.16999817,14.72999954,26231,308.269989,0.4,4642,1000,3082.69989
2025-08-12 23:00:00+00:00,3348.899902,63.16999817,14.72999954,26245,308.269989,0.4,4642,1000,3082.69989
2025-08-13 04:00:00+00:00,3358.699951,62.65000153,14.48999977,26245,309.2099915,0.4,4596,1000,3092.099915
2025-08-13 23:00:00+00:00,3358.699951,62.65000153,14.48999977,26265,309.2099915,0.4,4596,1000,3092.099915
2025-08-14 04:00:00+00:00,3335.199951,63.95999908,14.82999992,26265,307.25,0.4,4692,1000,3072.5
2025-08-14 23:00:00+00:00,3335.199951,63.95999908,14.82999992,26230,307.25,0.4,4692,1000,3072.5
2025-08-15 04:00:00+00:00,3336,62.79999924,15.09000015,26230,307.4299927,0.4,4683,1000,3074.299927
2025-08-17 23:00:00+00:00,3336,62.79999924,15.09000015,26240,307.4299927,0.4,4683,1000,3074.299927
2025-08-18 04:00:00+00:00,3331.699951,63.41999817,14.98999977,26240,306.9500122,0.4,4706,1000,3069.500122
2025-08-18 23:00:00+00:00,3331.699951,63.41999817,14.98999977,26275,306.9500122,0.4,4706,1000,3069.500122
2025-08-19 04:00:00+00:00,3313.399902,62.34999847,15.56999969,26275,305.269989,0.4,4789,1000,3052.69989
2025-08-19 23:00:00+00:00,3313.399902,62.34999847,15.56999969,26290,305.269989,0.4,4789,1000,3052.69989
2025-08-20 04:00:00+00:00,3343.399902,63.20999908,15.68999958,26290,308.3599854,0.4,4637,1000,3083.599854
